"filename", "language", "PHP", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\sales_system\Product\create_prod.php", "PHP", 43, 0, 0, 8, 51
"c:\xampp\htdocs\sales_system\Product\create_prod_check.php", "PHP", 38, 0, 0, 17, 55
"c:\xampp\htdocs\sales_system\Product\edit_prod.php", "PHP", 59, 0, 0, 17, 76
"c:\xampp\htdocs\sales_system\Product\edit_prod_confirm.php", "PHP", 79, 0, 4, 13, 96
"c:\xampp\htdocs\sales_system\Product\product.php", "PHP", 68, 0, 0, 24, 92
"c:\xampp\htdocs\sales_system\config\config.php", "PHP", 11, 0, 0, 12, 23
"c:\xampp\htdocs\sales_system\css\create_emp.css", "CSS", 0, 51, 0, 0, 51
"c:\xampp\htdocs\sales_system\css\create_pro.css", "CSS", 0, 57, 1, 16, 74
"c:\xampp\htdocs\sales_system\css\cus.css", "CSS", 0, 63, 1, 7, 71
"c:\xampp\htdocs\sales_system\css\db.css", "CSS", 0, 93, 2, 7, 102
"c:\xampp\htdocs\sales_system\css\edit_cus.css", "CSS", 0, 59, 1, 4, 64
"c:\xampp\htdocs\sales_system\css\edit_emp.css", "CSS", 0, 59, 1, 4, 64
"c:\xampp\htdocs\sales_system\css\edit_prod.css", "CSS", 0, 128, 1, 21, 150
"c:\xampp\htdocs\sales_system\css\emp.css", "CSS", 0, 75, 1, 5, 81
"c:\xampp\htdocs\sales_system\css\login.css", "CSS", 0, 35, 1, 4, 40
"c:\xampp\htdocs\sales_system\css\nav.css", "CSS", 0, 58, 0, 12, 70
"c:\xampp\htdocs\sales_system\css\orders.css", "CSS", 0, 123, 5, 13, 141
"c:\xampp\htdocs\sales_system\css\orders_de.css", "CSS", 0, 161, 12, 24, 197
"c:\xampp\htdocs\sales_system\css\product.css", "CSS", 0, 81, 1, 5, 87
"c:\xampp\htdocs\sales_system\customer\create_cus.php", "PHP", 20, 0, 0, 2, 22
"c:\xampp\htdocs\sales_system\customer\create_cus_check.php", "PHP", 20, 0, 0, 11, 31
"c:\xampp\htdocs\sales_system\customer\customer.php", "PHP", 46, 0, 0, 18, 64
"c:\xampp\htdocs\sales_system\customer\edit_cus.php", "PHP", 52, 0, 0, 13, 65
"c:\xampp\htdocs\sales_system\customer\edit_cus_confirm.php", "PHP", 25, 0, 0, 8, 33
"c:\xampp\htdocs\sales_system\dashboard\dashboard.php", "PHP", 50, 0, 0, 9, 59
"c:\xampp\htdocs\sales_system\employee\create_emp.php", "PHP", 24, 0, 0, 5, 29
"c:\xampp\htdocs\sales_system\employee\create_emp_check.php", "PHP", 22, 0, 0, 9, 31
"c:\xampp\htdocs\sales_system\employee\css\product.css", "CSS", 0, 13, 0, 2, 15
"c:\xampp\htdocs\sales_system\employee\edit_emp.php", "PHP", 43, 0, 0, 14, 57
"c:\xampp\htdocs\sales_system\employee\edit_emp_confirm.php", "PHP", 20, 0, 0, 5, 25
"c:\xampp\htdocs\sales_system\employee\emp.php", "PHP", 49, 0, 0, 21, 70
"c:\xampp\htdocs\sales_system\header\nav.php", "PHP", 37, 0, 0, 10, 47
"c:\xampp\htdocs\sales_system\header\nav_cus.php", "PHP", 31, 0, 0, 6, 37
"c:\xampp\htdocs\sales_system\login\check_login.php", "PHP", 30, 0, 0, 5, 35
"c:\xampp\htdocs\sales_system\login\check_login_cus.php", "PHP", 28, 0, 0, 5, 33
"c:\xampp\htdocs\sales_system\login\login.php", "PHP", 34, 0, 0, 6, 40
"c:\xampp\htdocs\sales_system\login\login_cus.php", "PHP", 32, 0, 0, 5, 37
"c:\xampp\htdocs\sales_system\login\logout.php", "PHP", 6, 0, 0, 0, 6
"c:\xampp\htdocs\sales_system\login\logout_cus.php", "PHP", 6, 0, 0, 0, 6
"c:\xampp\htdocs\sales_system\login\register.php", "PHP", 35, 0, 0, 11, 46
"c:\xampp\htdocs\sales_system\orders\confirmed.php", "PHP", 27, 0, 15, 19, 61
"c:\xampp\htdocs\sales_system\orders\orders.php", "PHP", 45, 0, 1, 8, 54
"c:\xampp\htdocs\sales_system\orders\orders_detail.php", "PHP", 137, 0, 4, 36, 177
"c:\xampp\htdocs\sales_system\shop\checkout.php", "PHP", 53, 0, 0, 4, 57
"c:\xampp\htdocs\sales_system\shop\delete.php", "PHP", 8, 0, 0, 2, 10
"c:\xampp\htdocs\sales_system\shop\finish_order.php", "PHP", 0, 0, 0, 1, 1
"c:\xampp\htdocs\sales_system\shop\may be will delete\add.php", "PHP", 73, 0, 0, 7, 80
"c:\xampp\htdocs\sales_system\shop\may be will delete\add_check.php", "PHP", 25, 0, 0, 5, 30
"c:\xampp\htdocs\sales_system\shop\may be will delete\cart.php", "PHP", 12, 0, 0, 2, 14
"c:\xampp\htdocs\sales_system\shop\or.php", "PHP", 24, 0, 0, 6, 30
"c:\xampp\htdocs\sales_system\shop\shop.php", "PHP", 61, 0, 0, 5, 66
"c:\xampp\htdocs\sales_system\shop\show.php", "PHP", 70, 0, 0, 5, 75
"Total", "-", 1443, 1056, 51, 478, 3028
